# Filtro pasabajos RLC - respuesta al escalon
# ATENCION: datos SINTETICOS generados para el ejemplo de Xtal.
# Instrumento: osciloscopio de 2 canales, 500 puntos, 500 us/div
# Trigger: flanco de subida de CH1 en t = 0 (los tiempos negativos son pretrigger)
# CH1 = entrada (generador), CH2 = salida (sobre el capacitor)
Time (s),CH1 (V),CH2 (V)
0.000846693,1.00369,0.90390
0.000854709,0.99040,0.90370
0.000862725,0.99908,0.88822
0.000870741,0.99744,0.87860
0.000878758,1.00019,0.88109
0.000886774,1.00628,0.87483
0.000894790,1.00032,0.86337
0.000902806,1.00841,0.86722
0.000910822,1.00791,0.85593
0.000918838,1.00050,0.85898
0.000926854,0.99537,0.85227
0.000934870,0.98634,0.85256
0.000942886,0.99346,0.85470
0.000950902,1.00846,0.86274
0.000958918,0.99601,0.84343
0.000966934,0.99994,0.84799
0.000974950,0.99970,0.84696
0.000982966,0.99051,0.84055
0.000990982,1.00317,0.84589
0.000998998,0.99131,0.85552
0.001007014,0.99054,0.84869
0.001015030,0.99683,0.84837
0.001023046,0.98997,0.86317
0.001031062,0.99728,0.86515
0.001039078,1.00176,0.86379
0.001047094,0.99334,0.87657
0.001055110,0.99965,0.86535
0.001063126,1.00957,0.86713
0.001071142,0.99803,0.87936
0.001079158,0.99071,0.88303
0.001087174,0.99993,0.88020
0.001095190,1.01300,0.88995
0.001103206,0.99794,0.90169
0.001111222,1.00137,0.89888
0.001119238,1.00061,0.90460
0.001127255,0.99440,0.91900
0.001135271,0.99854,0.92004
0.001143287,0.99760,0.92376
0.001151303,1.00066,0.92826
0.001159319,0.99999,0.93757
0.001167335,0.99965,0.93667
0.001175351,0.99655,0.94898
0.001183367,1.00172,0.95623
0.001191383,1.00898,0.96095
0.001199399,0.99649,0.96759
0.001207415,0.99865,0.97307
0.001215431,0.99668,0.97986
0.001223447,0.98647,0.98000
0.001231463,1.00136,0.97587
0.001239479,1.00744,0.99177
0.001247495,1.00527,0.99031
0.001255511,1.00391,0.99619
0.001263527,1.01357,1.00522
0.001271543,1.00202,1.00294
0.001279559,1.00709,1.00435
0.001287575,0.99760,1.01505
0.001295591,0.99790,1.03293
0.001303607,0.99439,1.02629
0.001311623,1.00482,1.02565
0.001319639,1.00669,1.02491
0.001327655,0.99907,1.03200
0.001335671,1.00155,1.03830
0.001343687,1.00120,1.04343
0.001351703,0.99880,1.02626
0.001359719,1.00027,1.03885
0.001367735,0.99519,1.05040
0.001375752,0.99584,1.03632
0.001383768,0.99439,1.05209
0.001391784,0.99781,1.05411
0.001399800,0.99595,1.05128
0.001407816,1.00642,1.06182
0.001415832,0.99809,1.05188
0.001423848,1.00023,1.04819
0.001431864,0.99914,1.06415
0.001439880,0.99547,1.06132
0.001447896,0.99896,1.05914
0.001455912,0.99483,1.05580
0.001463928,1.00360,1.06356
0.001471944,0.99435,1.05483
0.001479960,1.00936,1.05449
0.001487976,1.00313,1.07302
0.001495992,0.99255,1.06910
0.001504008,1.00182,1.05170
0.001512024,1.00400,1.05385
0.001520040,1.00332,1.05557
0.001528056,0.99949,1.05965
0.001536072,0.98494,1.04690
0.001544088,1.00477,1.05187
0.001552104,0.99522,1.05782
0.001560120,0.99992,1.06466
0.001568136,1.00513,1.03629
0.001576152,0.99476,1.04846
0.001584168,1.00703,1.03713
0.001592184,1.00705,1.03925
0.001600200,0.99505,1.03457
0.001608216,1.00084,1.02637
0.001616232,1.00096,1.03806
0.001624248,1.00117,1.03164
0.001632265,0.99883,1.02746
0.001640281,1.01101,1.02746
0.001648297,1.00043,1.02595
0.001656313,1.00155,1.02903
0.001664329,1.00450,1.00435
0.001672345,1.00157,1.01929
0.001680361,0.99983,1.02001
0.001688377,0.99826,1.00472
0.001696393,0.99651,1.00801
0.001704409,0.99375,1.00484
0.001712425,0.99891,1.00947
0.001720441,0.99964,1.00393
0.001728457,0.99626,1.00291
0.001736473,0.99996,1.00280
0.001744489,1.00391,0.98479
0.001752505,0.99488,1.00433
0.001760521,1.00679,0.99040
0.001768537,1.00732,0.98513
0.001776553,1.00234,0.98588
0.001784569,0.99257,0.98098
0.001792585,0.99515,0.98789
0.001800601,1.00507,0.98692
0.001808617,1.00995,0.98480
0.001816633,1.00033,0.99013
0.001824649,1.00147,0.98150
0.001832665,1.00582,0.98812
0.001840681,1.00918,0.98808
0.001848697,1.00009,0.98148
0.001856713,0.99273,0.97504
0.001864729,1.00524,0.97897
0.001872745,1.00209,0.96923
0.001880762,0.99425,0.98021
0.001888778,0.99981,0.98135
0.001896794,1.00160,0.98042
0.001904810,0.99150,0.98300
0.001912826,0.98823,0.96943
0.001920842,0.99752,0.98224
0.001928858,0.99680,0.98406
0.001936874,1.01039,0.98193
0.001944890,1.00337,0.97204
0.001952906,1.00058,0.96505
0.001960922,0.99175,0.97567
0.001968938,0.99977,0.96746
0.001976954,0.99863,0.97555
0.001984970,0.99960,0.97641
0.001992986,0.99206,0.97511
0.002001002,1.00770,0.96445
0.002009018,0.99378,0.98381
0.002017034,0.98943,0.98066
0.002025050,0.99626,0.98011
0.002033066,0.99831,0.97444
0.002041082,1.01025,0.98236
0.002049098,0.99243,0.98858
0.002057114,1.00251,0.98350
0.002065130,0.99808,0.98568
0.002073146,1.01043,0.98813
0.002081162,1.00798,0.98818
0.002089178,1.00909,0.98374
0.002097194,0.99979,0.98244
0.002105210,1.00085,0.98358
0.002113226,0.99968,0.97531
0.002121242,1.00519,0.98357
0.002129259,1.00324,0.98760
0.002137275,0.99810,1.00381
0.002145291,0.99428,0.99092
0.002153307,1.00293,0.99217
0.002161323,0.99309,0.98697
0.002169339,1.00053,0.99206
0.002177355,1.00393,0.99187
0.002185371,0.99926,0.99397
0.002193387,0.98796,0.99916
0.002201403,1.00406,0.99682
0.002209419,1.00241,0.99323
0.002217435,1.00674,1.00798
0.002225451,0.99370,1.00345
0.002233467,1.00039,0.99930
0.002241483,1.00495,1.00001
0.002249499,1.00761,1.00085
0.002257515,1.00051,1.00689
0.002265531,0.99665,1.01565
0.002273547,1.00986,1.00425
0.002281563,0.98811,1.00317
0.002289579,0.99605,1.01235
0.002297595,1.00359,1.00789
0.002305611,0.99567,1.00223
0.002313627,0.99285,1.00536
0.002321643,1.00301,1.01353
0.002329659,0.99719,1.00196
0.002337675,0.99036,1.00826
0.002345691,1.00893,1.00048
0.002353707,1.00169,1.02233
0.002361723,1.00474,1.00397
0.002369739,0.99849,1.00892
0.002377756,1.00339,1.00268
0.002385772,1.00287,1.00914
0.002393788,1.00194,1.01224
0.002401804,0.99755,1.00122
0.002409820,1.00043,1.01311
0.002417836,0.99604,1.02337
0.002425852,1.00287,1.01165
0.002433868,1.00596,1.00929
0.002441884,1.00063,1.00496
0.002449900,0.99426,1.00716
0.002457916,1.00226,1.01276
0.002465932,1.00044,0.99660
0.002473948,0.99803,1.00620
0.002481964,1.00634,1.00756
0.002489980,1.00347,0.99967
0.002497996,1.00309,1.01351
0.002506012,0.99763,1.01376
0.002514028,0.99680,1.01108
0.002522044,1.00117,1.00473
0.002530060,1.00558,0.99963
0.002538076,0.99994,1.00590
0.002546092,1.00578,1.00586
0.002554108,1.00741,1.00455
0.002562124,0.99456,1.01360
0.002570140,0.99936,1.00377
0.002578156,0.99613,1.00014
0.002586172,1.00514,1.00851
0.002594188,0.99689,1.00558
0.002602204,0.99982,1.00143
0.002610220,0.99743,1.00644
0.002618236,1.00367,1.00618
0.002626253,1.00027,1.01097
0.002634269,1.01078,1.00442
0.002642285,0.99368,0.99724
0.002650301,1.00320,0.99780
0.002658317,0.99810,1.00944
0.002666333,0.99859,1.01037
0.002674349,1.00572,0.99984
0.002682365,1.00390,1.00414
0.002690381,0.99534,0.99568
0.002698397,1.00644,0.99048
0.002706413,0.99623,0.99464
0.002714429,1.00283,0.99806
0.002722445,1.00861,1.00105
0.002730461,0.99622,0.99420
0.002738477,1.00578,0.99963
0.002746493,1.00585,1.00992
0.002754509,0.98295,0.99081
0.002762525,1.00228,1.00438
0.002770541,0.99830,0.99880
0.002778557,0.99227,0.99713
0.002786573,0.99450,0.99694
0.002794589,1.00333,0.99217
0.002802605,0.99765,1.00373
0.002810621,1.00590,1.00408
0.002818637,1.01270,0.99546
0.002826653,0.99263,1.00044
0.002834669,1.00071,0.99894
0.002842685,1.01091,0.99698
0.002850701,0.99264,0.99136
0.002858717,1.00177,1.00016
0.002866733,0.99049,0.98225
0.002874749,1.00018,0.99543
0.002882766,1.00825,0.99204
0.002890782,1.00492,1.00068
0.002898798,1.00042,1.00877
0.002906814,0.99159,0.99419
0.002914830,1.00298,0.99343
0.002922846,0.99020,0.99395
0.002930862,1.00043,0.99711
0.002938878,1.00417,1.00447
0.002946894,1.00057,0.98775
0.002954910,0.99828,1.00256
0.002962926,0.99754,0.99361
0.002970942,1.00882,1.00338
0.002978958,0.99510,1.00073
0.002986974,0.99312,1.00148
0.002994990,1.00399,0.99610
0.003003006,0.98791,1.00206
0.003011022,1.00188,1.00811
0.003019038,0.99920,0.99755
0.003027054,1.00695,0.99892
0.003035070,0.99594,0.99432
0.003043086,1.00023,0.99612
0.003051102,0.99997,0.99557
0.003059118,1.01192,1.00646
0.003067134,1.00249,1.00275
0.003075150,1.00808,0.98934
0.003083166,1.00658,0.99792
0.003091182,0.99520,0.99292
0.003099198,1.00916,1.00380
0.003107214,1.00740,1.00015
0.003115230,1.00504,0.99569
0.003123246,0.99717,1.00019
0.003131263,1.00189,0.99015
0.003139279,1.00159,1.00197
0.003147295,0.99859,1.00746
0.003155311,0.99425,1.00009
0.003163327,1.00441,0.98950
0.003171343,1.00390,0.99327
0.003179359,1.00192,0.99401
0.003187375,0.99709,1.00241
0.003195391,1.00024,1.00978
0.003203407,0.99389,0.99602
0.003211423,1.01006,1.01203
0.003219439,1.00301,1.00292
0.003227455,1.00341,1.00403
0.003235471,1.00232,0.99592
0.003243487,1.00217,0.99771
0.003251503,0.99874,0.98978
0.003259519,1.01162,1.01379
0.003267535,1.00295,0.99740
0.003275551,0.98959,0.99721
0.003283567,1.00822,1.00332
0.003291583,1.00909,1.00148
0.003299599,0.99093,1.00583
0.003307615,0.99300,1.00856
0.003315631,1.00499,0.99388
0.003323647,0.99944,0.99783
0.003331663,0.99294,1.01033
0.003339679,1.01119,0.99854
0.003347695,0.98968,0.99459
0.003355711,0.98976,1.00595
0.003363727,1.00129,0.99890
0.003371743,0.99793,1.00068
0.003379760,0.98671,1.00120
0.003387776,0.99032,1.00432
0.003395792,1.00398,1.00379
0.003403808,0.99809,1.00248
0.003411824,0.99620,1.00317
0.003419840,1.00776,0.99576
0.003427856,1.00033,1.00821
0.003435872,1.00838,0.99921
0.003443888,0.99373,0.99335
0.003451904,1.00719,0.99494
0.003459920,0.99244,1.00727
0.003467936,1.00096,0.99929
0.003475952,1.00204,1.01353
0.003483968,0.99474,0.99240
0.003491984,1.00294,1.00407
0.003500000,1.00122,1.01127
